NPA,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2,"45.5%","49.3%","49%","47.5%","46.1%","50.4%","73.3%","72.2%","52.3%","54.2%","50%","42.9%","43%","44.6%"
3,"69.9%","76.4%","74.9%","76.8%","79.6%","81.6%","81.4%","77.5%","78.9%","78.3%","67.1%","68.4%","70.3%","73.8%"
4,"84.1%","86.2%","86.1%","81.8%","79.5%","85.2%","88.1%","90.6%","86.7%","82.2%","69.2%","74%","79.6%","81.3%"
5,"69.7%","74.7%","73.2%","69.2%","70%","64.5%","73%","65.6%","64.1%","64.3%","57.5%","56.7%","56%","59.4%"
6,"66.6%","74.1%","65.3%","65.9%","67.4%","61.4%","60.3%","64.2%","70.7%","75.5%","65.3%","53.8%","56.4%","60.9%"
7,"97.7%","97.8%","97.7%","97.2%","97.3%","98.7%","97%","92.9%","94.4%","96%","68.4%","58.8%","63.2%","75.8%"
8,"31.1%","37.5%","33.3%","38.1%","32.9%","41.3%","36.6%","55.4%","60.8%","66.2%","58.9%","54.1%","50%","48.6%"
9,"35.3%","27.9%","13.6%","30.4%","32.6%","17.9%","31.6%","32.6%","28.6%","27.8%","11.1%","16.9%","16.7%","17.5%"
10,"53.2%","76.7%","70.8%","70.8%","66.4%","70.7%","66.9%","72.1%","74.2%","76.2%","60.9%","61.2%","59.6%","57.9%"
11,"72.2%","75%","69.9%","69.8%","72.9%","70.5%","77.4%","75.5%","70.3%","68.2%","58.3%","59.5%","65.2%","67.2%"
12,"68.3%","82.2%","82%","83.6%","77.5%","84.4%","80.3%","82.9%","87.8%","87.4%","72.3%","71%","73.7%","71.8%"
13,"68.8%","64.6%","63.1%","69.6%","65.2%","66.8%","68%","65.7%","74.1%","76.2%","66.5%","66.2%","66.5%","66.5%"
14,"79%","76.5%","76.3%","76.5%","71.8%","69.2%","70.4%","69%","67.4%","74.3%","55.8%","56.2%","54.3%","63.6%"
15,"47.8%","55.8%","58%","62%","61.8%","60.1%","61.8%","61.3%","59.5%","63%","54.9%","59%","54.5%","53.3%"
16,"64.7%","73.7%","73.2%","76.2%","75.3%","71.7%","75.9%","73.9%","75.1%","74.3%","65.8%","63.8%","61.4%","66.8%"
17,"67.2%","75.7%","76.3%","71.9%","71.3%","71.7%","67.9%","72.6%","75.3%","75.1%","69.5%","65.7%","60.5%","61.4%"
18,"81.9%","79.4%","81.3%","83.7%","83.9%","83.4%","83.1%","81.3%","84.9%","83.6%","67.4%","68.3%","65%","69.7%"
19,"67.8%","70.3%","64%","67%","66.5%","68.4%","68%","68%","69.3%","70.6%","54.8%","60.8%","54.2%","56.7%"
20,"93.3%","94%","94%","95.3%","91.8%","92.3%","93.3%","94.7%","94.2%","76%","70.1%","75.1%","76.7%","78%"
21,"59.5%","79.1%","77.8%","75%","67.1%","71.6%","67.4%","65.7%","69.1%","69.8%","58.5%","50.5%","55%","65.5%"
22,"69.6%","56.4%","65.3%","67.6%","69.8%","58.1%","31.8%","19.6%","30.8%","35.5%","34.1%","29.7%","35.1%","34%"
23,"71.7%","81.6%","82.3%","81.8%","79.6%","84.1%","74.2%","73.5%","88%","88.2%","70.6%","74.5%","71.3%","75.3%"
24,"75.7%","74.7%","76.1%","70.4%","65%","71.9%","51.3%","58.8%","66%","69.6%","45.7%","53.4%","69.3%","74.5%"
25,"96.5%","96.2%","96.3%","95.3%","94.4%","93.1%","91.7%","92%","94%","92.5%","79.8%","79.8%","80.3%","87.8%"
26,"86.4%","84.3%","79.8%","72.5%","67.4%","68.6%","69.9%","68.6%","70.6%","72.6%","52.6%","56.1%","61.7%","61.4%"
27,"73.8%","86.5%","84.7%","85.2%","82.9%","82.9%","80.8%","81.7%","81.7%","82.1%","68%","67.2%","67.4%","72.9%"
28,"78.6%","87.8%","88.5%","84.7%","89.8%","87.9%","93.5%","94.7%","89.1%","90%","74.8%","73.3%","70.5%","88.7%"
29,"95.1%","92.7%","90.7%","94.5%","90.4%","86.7%","90.5%","86.9%","83.1%","84.6%","69.5%","72.2%","70.6%","77.7%"
30,"76.4%","80%","75%","77.7%","75.6%","76.3%","73.4%","68.1%","73.1%","80.1%","73.3%","66.9%","62.9%","67.1%"
31,"89.7%","91.5%","91.9%","93.6%","92.8%","91.7%","90.9%","87.3%","87.7%","84.6%","72.6%","74.4%","72.8%","68.5%"
32,"85.7%","91.7%","89.5%","94.7%","100%","94.4%","88.2%","64.3%","76.2%","76.9%","68.4%","72.7%","59.1%","54.5%"
33,"70.2%","74.1%","70.4%","61.1%","57%","50.4%","49.6%","64.9%","82.5%","81.4%","40.9%","58.3%","50%","53.7%"
34,"78.1%","83.4%","84.7%","84.3%","78.5%","77.1%","71.6%","69.8%","72.2%","69.5%","57.5%","60.9%","57.6%","64.4%"
35,"66.7%","82.8%","76.3%","77.6%","69.5%","70.2%","66.4%","64.4%","61.7%","64.9%","54.3%","56.6%","54.4%","52.1%"
36,"59.9%","67.6%","57.3%","61.6%","61.5%","54.5%","56%","55.8%","58.4%","59.6%","42.5%","52.5%","50%","52.7%"
37,"56.9%","69.1%","68.5%","63%","61.4%","60.9%","47.8%","36.3%","41.3%","47.3%","44.4%","46.6%","50.9%","45.6%"
38,"78.9%","80.3%","74.9%","67.8%","68.7%","65.9%","68.9%","62%","56.6%","58.5%","41%","43.1%","41%","42.7%"
39,"77.4%","81.7%","76.4%","70.1%","68.5%","67.4%","67.4%","68.5%","69.4%","68%","59%","57.8%","57.3%","61%"
40,"47%","65.4%","63%","63.5%","65%","69.1%","67.9%","64.2%","61.8%","59.6%","54%","54.2%","57.3%","57.8%"
41,"88%","89.9%","90.9%","90.7%","89%","88.4%","84%","76.3%","81.2%","84.5%","65.2%","65.9%","68.8%","73.1%"
42,"84.3%","88.4%","89.1%","91.7%","86.2%","89.3%","88.5%","89.8%","89.4%","85.5%","68.4%","73.3%","71.2%","74.6%"
43,"82.5%","88.7%","87.9%","88.3%","91.1%","85.1%","86.4%","86.3%","85.8%","90.3%","71.9%","72.4%","75.1%","72.6%"
